Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
Baker Carnival,Baker House,,Right outside Baker House,8/26/2024 14:00,8/26/2024 16:00,Come enjoy a petting zoo and a dessert food truck right outside of Baker!,"Signature, Food, Social",TRUE
Baker Skyline,Baker House,,Baker Dining,8/27/2024 21:30,8/27/2024 23:30,"Come to Baker to enjoy a night of pizza, music and dancing, and a chance to win old Baker merch!","Food, Party, Social",TRUE
Baker Roof Breakfast,Baker House,,Baker Roof,8/28/2024 8:00,8/28/2024 10:00,Come grab breakfast on Baker Roof for bagels and acai and chat with some current Baker House Residents!,"Food, Social",TRUE
Wake Up and Bake Up,Burton Conner,B3rd,B3rd 41 Suite,8/25/2024 10:03,8/25/2024 12:03,come enjoy brunch & baked goods with burton third!,"Food, Social",TRUE
BC Dorm Tour,Burton Conner,,BC Front Desk,8/25/2024 12:00,8/25/2024 14:00,Come explore Burton Conner on a student-led tour and make friends with the mice! *NOTE*: The last tour will leave half an hour before the end time! ,Tour,TRUE
"sports ""investing""",Burton Conner,B3rd,Briggs Field,8/25/2024 14:33,8/25/2024 15:33,hit your 33rd leg parlay,"Social, Games",TRUE
waldo's wet and wild wager,Burton Conner,B3rd,Briggs Field,8/25/2024 16:33,8/25/2024 17:33,There's water and we're Bombers.,"Social, Games",TRUE
B2 24 Hour Lemonade Stand,Burton Conner,B2,Outside Burton Conner,8/26/2024 6:00,8/26/2024 15:00,"Lemonade, it's what plants crave.","Food, Social",TRUE
BC Dorm Tour,Burton Conner,,BC Front Desk,8/26/2024 9:30,8/26/2024 11:00,Come explore Burton Conner on a student-led tour and make friends with the mice! *NOTE*: The last tour will leave half an hour before the end time! ,Tour,TRUE
jimbo's country hoe down,Burton Conner,B3rd,BC Grills,8/26/2024 14:03,8/26/2024 16:03,"grills, games, and guns ","Social, Food, Games, Party",TRUE
no more table,Burton Conner,B3rd,B3rd Flounge,8/26/2024 19:33,8/26/2024 20:33,No. More table.,"Art, Social",TRUE
BC Dorm Tour,Burton Conner,,BC Front Desk,8/27/2024 11:30,8/27/2024 13:00,Come explore Burton Conner on a student-led tour and make friends with the mice! *NOTE*: The last tour will leave half an hour before the end time! ,Tour,TRUE
cook for yourself,Burton Conner,B3rd,B3rd 41 Suite,8/27/2024 12:33,8/27/2024 13:33,Teaching you the essentials to surviving,"Food, Social, Art",TRUE
jarred and feathered,Burton Conner,B3rd,B3rd Flounge,8/27/2024 14:03,8/27/2024 15:03,Jeopardy meets tape meets gravity meets whipped cream meets feathers meets fan favorite 17th century pastimes.,"Social, Games",TRUE
deep talks with shallow people,Burton Conner,B3rd,B3rd Flounge,8/27/2024 19:33,8/27/2024 20:33,"discuss the meaning of life, et al.","Art, Social, Games",TRUE
Burton (Pop)^4,Burton Conner,B4,BC Outdoor Yard,8/24/2024 18:00,8/24/2024 19:00,Want a snack? Come visit for POPcorners. POPsicles. POPtarts. RingPOPs,"Food, Social",TRUE
B1ANKETS AND POWERPO1NTS,Burton Conner,B1,B1 Flounge,8/24/2024 21:01,8/24/2024 22:51,Cozy up and present some utterly nonsensical powerpoints made by the b1ners!,"Social, Games",TRUE
Tea & Tattoos ,Burton Conner,C2,Conner 2 Flounge,8/25/2024 14:00,8/25/2024 16:00,Do you like to drink tea (and spill tea)? Do you like making adult decisions but hate the commitment of sticking to said decisions? Do you have strong opinions on colonialism? Then come join C2 (aka the British Floor) for tea and tattoos! The tattoos may be temporary but tea time is forever.,"Food, Social",TRUE
B5loat,Burton Conner,B5,B5 Flounge,8/25/2024 15:00,8/25/2024 16:00,Enjoy some root beer floats on a hot summer day!,"Food, Social",TRUE
B2 24 Hour Lemonade Stand,Burton Conner,B2,Outside Burton Conner,8/25/2024 15:00,8/26/2024 1:00,"Lemonade, it's what plants crave.","Food, Social",TRUE
"C4: Cinema, snaCks, and Cozy Chairs",Burton Conner,C4,C4 flounge,8/25/2024 20:00,8/26/2024 1:00,"do you love studio ghibli films! Come join us for our biyearly (twiCe a year) C4 event, where we all watCh ghibli films to wind down the heCtic day",Social,TRUE
Will it Waffle?,Burton Conner,B4,BC 441,8/25/2024 21:00,8/25/2024 22:30,"Are you craving a scalding hot waffle-shaped dill pickle? Curious about the frying time for an uncrustable on a waffle iron? Come challenge culinary norms with the Burton 4 players at ""Will It Waffle?""","Food, Social",TRUE
LEONARDO B1 B1NC1,Burton Conner,B1,133 Kitchen,8/25/2024 9:21,8/25/2024 11:01,"Did you know that Leonardo Da Vinci invented pancakes? Did you know that b1 invented Leonardo Da Vinci? Get in touch with your inner Da Vinci, create multicolored pancakes, and enjoy them with some b1ners!","Food, Social, Art",TRUE
C4: Crochet Colorful Cute Creatures,Burton Conner,C4,C4 flounge,8/26/2024 14:00,8/26/2024 16:00,"join us in Crocheting Curiously Cute Critters! we have yarn and hooks and not a lot of experienCe, so come Chat and Crochet with us","Social, Art",TRUE
Feats of Strength,Burton Conner,B4,BC Outdoor Yard,8/26/2024 15:00,8/26/2024 16:00,"Compete versus the B4 players and fellow prefrosh in unknown and unpredictable feats of strength. From physical feats to mental tests, push your limits and discover your hidden talents. Join forces, forge friendships, and conquer your deep-seated fear of failure.","Social, Games",TRUE
B5art,Burton Conner,B5,B5 Flounge,8/26/2024 15:00,8/26/2024 16:00,"Draw on a balloon and blow it up, we have candy.","Social, Art",TRUE
P4inting with B4,Burton Conner,B4,B4 Floor Lounge,8/26/2024 19:00,8/26/2024 21:00,"Are you a talented artist? Or better yet, are you an untalented artist? Come paint large canvases, entire suits and dresses, or even yourself! Join the B4 Players for a relaxing night of painting, charcuterie, and good vibes.","Food, Social, Art",TRUE
C4: Come Challenge C4 Citizens in smash,Burton Conner,C4,C4 flounge,8/26/2024 19:00,8/27/2024 0:00,"Compete against C4 residents in smash ultimate! antiClimaCtiC fights lie ahead, but Come hang out and have a good time!","Social, Games",TRUE
BREAK THE WALL.,Burton Conner,B1,133 Lounge,8/26/2024 19:01,8/26/2024 20:01,Do it. You won't.,"Social, Games",TRUE
Great British Bdecorate Off,Burton Conner,C2,Burton Conner Suite 223,8/26/2024 19:30,8/26/2024 21:30,"On your mark, get set, decorate! Have you felt a lack of Delicious(????) Baked Goods in your life? Looking for an excuse to speak in a British accent? Then look no further! Come join C2 (the British floor) in decorating some totally edible, not-cursed baked goods.","Food, Social, Games",TRUE
B5nut,Burton Conner,B5,B5 Flounge,8/26/2024 20:00,8/26/2024 21:00,"Try to eat a donut off a string attached to the ceiling, special prizes for those who can eat it without dropping it.","Food, Games",TRUE
Dinin' with the Dinos,Burton Conner,C5,C5 Flounge & Suite Kitchens,8/26/2024 20:00,8/26/2024 21:00,"What do dinos eat? Other dinos of course! Sadly, MIT takes a very prejudiced stance on cannibalism, so we resorted to the next best thing. Join us as we make, bake, and intake dino shaped treats!","Food, Party, Social",TRUE
Charades Against Humanity,Burton Conner,B2,B2 Flounge,8/26/2024 22:00,8/26/2024 23:59,"Join in on trying to act out “crippling debt”, “doing the right thing”, and “ironically buying a trucker hat and then ironically being a trucker for 38 years”. And remember, only two things in life are certain: death and Texas.","Social, Games",TRUE
WELCOME TO THE BONERVERSE (IT'S A PARTY),Burton Conner,B1,B1 Flounge (BONE ZONE),8/26/2024 22:01,8/27/2024 1:01,"Stack cups, maybe like 100 of them... Go hard with the b1ners at a party that’s b1gger, better and b1uer than anything you've seen before. ","Party, Social",TRUE
Mystery Box,Burton Conner,B4,B4 Floor Lounge,8/27/2024 12:30,8/27/2024 14:00,We have a box. You put your hand it in. You touch a thing. We laugh. You laugh? If you guess object. Win.,"Social, Games",TRUE
Graffiti Our Wall,Burton Conner,C2,"Burton Conner, Suite 223",8/27/2024 12:30,8/27/2024 15:30,Come help us decorate our suite! (100% legal),"Social, Art",TRUE
Miracle B(2)erry,Burton Conner,B2,B2 Flounge,8/27/2024 13:00,8/27/2024 15:00,A berry sweet time,"Food, Social, Art",TRUE
C4: Consume Cool iCe Cream,Burton Conner,C4,C4 flounge,8/27/2024 13:00,8/27/2024 15:00,"Come get some iCe Cream (its shaved iCe actually)! Cool down from the heat and Chat with C4 residents about life on C4, mit, or anything!","Food, Social",TRUE
EVERYTH1NG 1S B1UE,Burton Conner,B1,B1 Flounge ,8/27/2024 14:01,8/27/2024 15:31,"Unleash your inner Smurf™ with the b1ners! Paint signs, spears, your friends, or whatever your Smurf™ heart desires with any shade of b1ue!","Social, Games, Art",TRUE
"Smoothie, Rattle, and Roll",Burton Conner,C5,Burton Connor C5 Lounge,8/27/2024 14:05,8/27/2024 15:05,"Come chill with us at C5! Whip up your own smoothie masterpiece, munch on some tasty snacks, dive into fun games, and get all your burning questions answered. Good vibes guaranteed!","Food, Social, Games",TRUE
B4 B4kes,Burton Conner,B4,BC Suite 441,8/27/2024 19:00,8/27/2024 21:00,Do you love the smell of freshly baked cookies? Have a secret family recipe you're dying to try out? Or maybe you just want to enjoy some tasty treats with friends? Join the B4 Players for a fun-filled night of baking!,"Food, Social",TRUE
B1UDGEONING WITH B1,Burton Conner,B1,Burtonside Courtyard,8/27/2024 19:11,8/27/2024 20:51,Break stuff. Competitively.,"Social, Games",TRUE
