ID,Event Name,Dorm,Group,Event Location,Start Date and Time,End Date and Time,Event Description,Tags,Published
MG18,E Entry Totes and Tea,MacGregor House,E Entry,E Entry Lounge,2026-09-03 17:00,2026-09-03 18:00,Come sip on some drinks while decorating a tote bag to your heart's desire.,"Snacks, Art",TRUE
MG19,Centry Chill Corner,MacGregor House,C Entry,C Entry Lounge,2026-09-03 21:00,2026-09-03 23:00,"Centry has weekly movie nights, but for REX we’re taking it to the next level :0 We have so many cinemas to watch and all the cookies in the world, so come on up to spend time in our crack-a-lackin crazy cool chill corner with Centry!","Snacks, Social, Games",TRUE
MA01,Matcha Breakfast,Maseeh Hall,,Maseeh Courtyard,2026-08-31 08:00,2026-08-31 11:00,Start your morning with matcha and homemade overnight oats. Set your mood for the day.,"Meal, Social",TRUE
MA02,Maseeh Trivia Night,Maseeh Hall,,Floor 2 Lobby,2026-09-03 21:00,2026-09-03 22:30,How well do you know Maseeh? Compete in Maseeh-themed trivia competition for the chance to win Maseeh merch and other prizes.,"Social, Games",TRUE
MA03,Maseeh Arts & Crafts,Maseeh Hall,,Private Dining Room,2026-08-30 17:00,2026-08-30 20:00,Make or leave a record of your REX experience!,"Art, Social",TRUE
MA04,Poker Chips,Maseeh Hall,,Floor 3 Lobby,2026-09-03 15:30,2026-09-03 18:30,Play poker (or other card games) and eat (potato) chips. No experience needed!,"Social, Snacks, Games",TRUE
MA05,Midnight Breakfast,Maseeh Hall,,Maseeh Courtyard,2026-08-31 22:00,2026-09-01 01:00,"Kind of like Stanford's tradition but much, much better.","Social, Meal",TRUE
MA06,Maseeh Tour,Maseeh Hall,,Meet at the Maseeh Lobby,2026-09-03 13:00,2026-09-03 14:00,See what it's like to live in Maseeh. Tours occur in 20 minute intervals.,Dorm Tour,TRUE
MA07,Maseeh Tour,Maseeh Hall,,Meet at the Maseeh Lobby,2026-08-30 12:00,2026-08-30 15:00,See what it's like to live in Maseeh. Tours occur in 20 minute intervals.,Dorm Tour,TRUE
MA08,Maseeh Tour,Maseeh Hall,,Meet at the Maseeh Lobby,2026-08-29 16:00,2026-08-29 20:00,See what it's like to live in Maseeh. Tours occur in 20 minute intervals.,Dorm Tour,TRUE
MA09,Karaoke & Movies Evening,Maseeh Hall,,Floor 2 Lobby,2026-08-30 20:00,2026-08-30 22:00,Free boba too!,"Social, Art",TRUE
MA10,Maseeh Lawn Games,Maseeh Hall,,Maseeh Courtyard,2026-09-03 11:00,2026-09-03 15:00,Come play ping pong and other games in the Maseeh Courtyard. Merch and food available!,"Social, Games",TRUE
MA11,Maseeh 101 & Cookie Decorating,Maseeh Hall,,Private Dining Room,2026-09-01 21:30,2026-09-02 00:00,Now that you are in Maseeh... time to learn more about it! Decorate cookies and hear from your new neighbors.,"Snacks, Social, Art",TRUE
MA12,Waffles Night,Maseeh Hall,,Maseeh Courtyard,2026-08-29 20:00,2026-08-29 22:30,Make and decorate your own waffles  while meeting other incoming Maseeh-donians!,"Meal, Snacks, Social, Art",TRUE
MA13,Are you smarter than a PhD?,Maseeh Hall,,Floor 4 Lobby,2026-09-01 19:00,2026-09-01 21:30,"Try your hand against some GRAs and the Head of House. Win prizes, eat snacks, meet people. Pizza will be provided","Social, Games",TRUE
MA14,Hotpot & Sushi Dinner,Maseeh Hall,,Private Dining Room,2026-08-31 19:00,2026-08-31 22:00,Yum yum yum.,"Meal, Social",TRUE
MA15,Ice Cream Social,Maseeh Hall,,Maseeh Courtyard,2026-08-30 22:00,2026-08-31 01:00,"Eat ice cream and other sweets, meet your peers and ask questions to Maseeh upperclassmen!","Social, Snacks, Meal, Party, Signature",TRUE
MA16,Photo Booth,Maseeh Hall,,Maseeh Courtyard,2026-08-29 12:00,2026-08-29 18:00,Maseeh is picteresque. Let us help you record your first moments on campus!,"Social, Art",TRUE
MC01,McCrafts and Snacks,McCormick Hall,,W20-401,2026-08-29 13:00,2026-08-29 15:00,"Get creative with a variety of hands-on crafts while enjoying snacks, music, and great company. Whether you're an experienced artist or just looking to unwind, there's something for everyone.","Art, Social, Snacks",TRUE
MC02,Great McCormick Bakeoff,McCormick Hall,,W20-401,2026-08-30 18:00,2026-08-30 20:00,"Put your creativity to the test by decorating cakes, cupcakes, and cookies with colorful frosting, sprinkles, and toppings. No baking experience required. Just decorate, snack, and have fun!","Signature, Social",TRUE
MC03,McCormick Night Market,McCormick Hall,,W20-401,2026-08-31 20:00,2026-08-31 22:00,"Experience a night market inspired by East Asian street food! Enjoy freshly made taiyaki, mochi, rice cakes, dumplings, and other treats while hanging out with fellow first-years.
","Meal, Social, Signature",TRUE
MC04,Flowers and Fruits,McCormick Hall,,W20-401,2026-09-01 20:00,2026-09-01 22:00,Take a break from the busy orientation schedule by creating a flower bouquet or floral crown with other flower themed crafts while enjoying fresh fruit and light refreshments. A relaxing way to meet new friends and unwind.,"Snacks, Art, Social",TRUE
MC05,McCormick Trivia Night,McCormick Hall,,W20-401,2026-09-02 20:00,2026-09-02 22:00,"Think you know a little about everything? Join us for a fun evening of team trivia featuring categories from pop culture and science to MIT traditions and random facts. Bring your friends, test your knowledge, and compete for prizes!
","Social, Games, Snacks",TRUE
NW01,The CContest,New House,Chocolate City,CC Lounge - New House Floor 5 (West),2026-08-31 19:00,2026-08-31 22:00,"Join us for a night of surprise competition hosted by CC’s very own high-class game show host. Prepare for literally anything - trivia, talent exhibition, deception, or all of the above. Snacks/refreshments on us! Come win some bragging rights.","Meal, Social, Games",TRUE
NW02,CCinema Night,New House,Chocolate City,CC Lounge - New House Floor 5 (West),2026-09-01 21:00,2026-09-02 00:00,"We’re hosting a movie kickback showing the classic, Friday, starring Ice Cube and Chris Tucker! We’ll have good snacks and great vibes, so all we’re missing is you!","Social, Snacks",TRUE
NW03,Boards & Boards,New House,French House,LMF Kitchen - New House Floor 4 (East),2026-09-01 19:00,2026-09-01 22:00,"Come wind down with board games and boards of food with French House! Enjoy our carefully crafted charcuterie board while engaging in relaxing gameplay with current house members. Eat our food, play our games, and learn more about the house.","Snacks, Games",TRUE
NW04,Melty Meal,New House,French House,LMF Kitchen - New House Floor 4 (East),2026-09-03 13:00,2026-09-03 15:00,Enjoy a delectable combination of melty cheese and assorted veggies/sausages (plus tiny breads) grilled to perfection on our very own raclette (little French grill). Check out our lovely kitchen and learn more about the French House experience from our seasoned upperclassmen!,Snacks,TRUE
NW05,The Great German Cake Show,New House,German House,German House - New House Floor 1 (West),2026-09-01 19:30,2026-09-01 22:00,"Come try a variety of German, Austrian, and other interesting cakes while hanging out with House members in the German House Lounge!","Snacks, Social",TRUE
NW06,Performative Germanmaxxing,New House,German House,German House - New House Floor 1 (West),2026-09-03 21:00,2026-09-03 23:00,There's nothing Germans love more than drinks and pretzels! Come join German House for a non-alcoholic super traditional German drink (matcha) and pretzels! A small caffeine and glucose boost will get you through the rest of the 9108420 events you're planning to do this weekend.,"Snacks, Social",TRUE
NW07,shaved ice & sago at New House 3,New House,House 3,House 3 Lounge - New House Floor 3 (East),2026-08-29 20:00,2026-08-29 21:00,"Refreshing shaved ice and mango sago (it's a new house 3 tradition)! Get to know the dorm vibes, ask about college stuff, meet your peers, or even rant. Also down to show you around the dorm and new house 3 rooms!","Snacks, Social",TRUE
NW08,bagel bar + hall crawl at New House 3,New House,House 3,House 3 Lounge - New House Floor 3 (East),2026-09-03 10:00,2026-09-03 11:00,Exercise your free will by building a bagel and probably leave with cream cheese on your face. Also down to show you around the dorm and new house 3 rooms!,"Meal, Snacks, Social",TRUE
NW09,craft dorm flag for your new room!,New House,House 3,House 3 Lounge - New House Floor 3 (East),2026-08-31 21:00,2026-08-31 22:00,"Make custom felt dorm flags to add some quirk to your room. You could put your name, your friend’s name, a random person’s name, or not even a name on it. Also down to show you around the dorm and new house 3 rooms!","Social, Art",TRUE
NW10,BLE4CH L4B,New House,House 4,House 4 Kitchen - New House Floor 5 (East),2026-09-03 12:44,2026-09-03 16:44,"join house 4 in upcycling your old clothes with bleach art. bring dark colored cotton clothing, leave with a one-of-a-kind statement piece!

**we will have limited supply of extra black tees and headbands; first come, first serve",Art,TRUE
NW11,SN4TCH TH4T WIG,New House,House 4,House 4 Kitchen - New House Floor 5 (East),2026-08-31 20:44,2026-08-31 23:44,"our party will have your wig snatched! Come vibe, sip mocktails, and enter our wig snatching tournament for a chance to win BIG 👀","Snacks, Games",TRUE
NW12,4ROUND THE C4MPFIRE,New House,House 4,New House Lawn (East),2026-08-30 20:44,2026-08-30 22:44,"ready to look camp right in the eye? join house 4 around the campfire* for chill vibes, s’mores, and fun lawn games. (*campfire not included lol)","Snacks, Social, Games",TRUE
NW13,Fried Rice Friday,New House,iHouse,"iHouse lounge, New House 1, Straight past security",2026-09-04 17:00,2026-09-04 19:00,"Fresh fried rice, good vibes, and great company. Need we say more? Come grab a plate, meet other prefrosh, chat with current MIT students, and enjoy some good food together!","Meal, Social",TRUE
NW14,Donuts and Documentaries,New House,iHouse,"iHouse lounge, New House 1, Straight past security",2026-08-31 19:00,2026-08-31 20:00,fill your bellies with knowledge and your brains with breakfast food,"Snacks, Social",TRUE
NW15,Picnic with Juniper,New House,Juniper,Charles River Esplanade,2026-08-31 10:00,2026-08-31 11:30,"Ready to kick off the new year with good views? Join us right by the Charles River for an hour of music, food, painting, and creative vibe! Meet us at the Student Center to walk over together at 10:00am! Contact 225-491-8258 for directions!","Snacks, Meal, Social, Art",TRUE
NW16,Pop the Balloon: Alter-Ego Edition!,New House,Juniper,Juniper Lounge - New House Floor 3 (West),2026-09-02 21:00,2026-09-02 22:30,"Join Juniper in the ultimate test of how well your friends know you—or how wildly they can fabricate a persona. Part dating show, part tabletop card game, this high-stakes game of elimination will have you popping balloons for the best (and worst) reasons.","Snacks, Social, Games",TRUE
NW17,La Casa Gatas & Game Night,New House,La Casa,New House Arcade (Ground Floor),2026-09-01 19:00,2026-09-01 21:00,"Join us in the New House Arcade for a Gatas & other game night! Play Gatas & other games with friends, meet new people, enjoy friendly competition, and relax with snacks/drinks and great company. All skill levels are welcome; come learn or show off your strategy!","Snacks, Social, Games",TRUE
NW18,Sabor y Ritmo,New House,La Casa,La Casa Kitchen - New House Floor 4 (West),2026-09-03 21:00,2026-09-04 00:00,"La Casa dance night!!! Bachata and Salsa favorites, Cumbia and Merengue rhythms, and Reggaetón beats will be playing at your request. We also have an array of drinks from Latin America (CPW throwback!)","Snacks, Social",TRUE
NW19,Generic Boba Event,New House,Desmond,Desmond Lounge - New House Floor 1,2026-08-30 13:00,2026-08-30 14:00,"Beat the heat (in a not so generic way) by building your own boba: pick your tea, milk, and sweetness, then pile on the pearls. Come by, meet Desmond, and enjoy a delicious drink!","Snacks, Social",TRUE
NW20,Take 5 (at House 5),New House,Desmond,Desmond Lounge - New House Floor 1,2026-08-31 22:00,2026-09-01 00:00,"It's night, you're done with programmed events, and there are warm cookies coming out of the oven. Chill with the Desmondites as we enjoy cookies and milk over a night of games and fun.","Snacks, Social, Games",TRUE
NW21,Dough-smond,New House,Desmond,Desmond Lounge - New House Floor 1,2026-09-04 17:00,2026-09-04 19:00,"Fold dumplings badly with us. Wrappers, filling (meat or vegan), and chili oil provided, pan-fried on the spot. One will emerge as Desmond's finest folder. Nobody knows who yet.","Meal, Social",TRUE
NW22,New House Tour,New House,,New House,2026-08-29 16:00,2026-08-29 17:00,Come tour New House and see all that we have to offer!,Dorm Tour,TRUE
NW23,New House Tour,New House,,New House,2026-08-30 14:00,2026-08-30 15:00,Come tour New House and see all that we have to offer!,Dorm Tour,TRUE
NW24,Taste of New House,New House,,New House Arcade (Ground Floor),2026-09-02 17:00,2026-09-02 19:00,"Get a taste of all the different flavors of New House! This ""meet-and-eat"" is a great chance to interact with our 9 unique communities. Enjoy our food, make new friends, and try to beat us at our own games (Dance Dance Revolution, ping pong, or pool).","Signature, Meal, Social, Games",TRUE
NV01,Explore New Vassar Tour,New Vassar,,Lobby,2026-08-29 12:00,2026-08-29 12:30,"Take a guided tour of New Vassar, meet current residents, and learn about the spaces, traditions, and community.",Dorm Tour,TRUE
NV02,BYO Pizza,New Vassar,,Country Kitchen,2026-08-29 17:30,2026-08-29 19:30,Build your own pizza and meet fellow first-years in a relaxed community dinner.,"Meal, Social, Snacks",TRUE
NV03,Game Night,New Vassar,,Mezzanine,2026-08-29 20:30,2026-08-29 22:30,"Board games, card games, and party games to meet new people.","Games, Snacks, Social",TRUE
NV04,Street Waffles,New Vassar,,Country Kitchen,2026-08-30 08:00,2026-08-30 09:30,Stop by for fresh waffles and toppings before starting your day.,"Meal, Social, Snacks",TRUE
NV05,DUNKin,New Vassar,,Lobby,2026-08-30 12:00,2026-08-30 14:00,Take your shot at dunking New Vassar volunteers while getting to know the community.,"Games, Social, Snacks",TRUE
NV06,New Vassar Heist,New Vassar,,All New Vassar,2026-08-30 19:00,2026-08-30 21:30,"Solve clues, work with teammates, and race across New Vassar in our signature murder mystery scavenger hunt.","Games, Social, Snacks",TRUE
NV07,Coffee Lab,New Vassar,,Mezzanine,2026-08-31 08:30,2026-08-31 10:00,Grab coffee and pastries while chatting with current residents about life at MIT.,"Snacks, Social",TRUE
NV08,Karaoke Night,New Vassar,,Mezzanine,2026-08-31 20:00,2026-08-31 22:00,"Pick your favorite songs and sing with fellow residents in a fun, supportive environment.","Social, Snacks, Party",TRUE
NV09,Breakfast Social,New Vassar,,Country Kitchen,2026-09-01 08:00,2026-09-01 09:30,Enjoy breakfast while meeting fellow first-years before the day's activities.,"Meal, Social, Snacks",TRUE
NV10,CRAFTea + Boba,New Vassar,,Mezzanine,2026-09-01 19:00,2026-09-01 21:00,Make crafts while enjoying tea and boba with new friends.,"Art, Social, Snacks",TRUE
NV11,Casino Night,New Vassar,,Mezzanine,2026-09-01 21:30,2026-09-01 23:30,Enjoy poker and casino-style games while hanging out with the New Vassar community.,"Games, Meal, Social, Signature, Snacks",TRUE
NV12,Getting to Know Vassar,New Vassar,,Courtyard,2026-09-02 15:00,2026-09-02 17:00,Meet the House Team and learn more about the people and resources that make up the New Vassar community.,"Social, Snacks",TRUE
NV13,House Gov & Grub,New Vassar,,Conference Room,2026-09-02 18:00,2026-09-02 19:30,Meet members of House Government over dinner and learn how to get involved.,"Meal, Social, Snacks",TRUE
NV14,Explore New Vassar Tour,New Vassar,,Lobby,2026-09-03 10:30,2026-09-03 11:00,"Take a guided tour of New Vassar, meet current residents, and learn about the spaces, traditions, and community.",Dorm Tour,TRUE
NV15,Arts & Crafts,New Vassar,,Mezzanine,2026-09-03 15:00,2026-09-03 17:00,"Relax, create something fun, and meet fellow residents through hands-on crafts.","Art, Social, Snacks",TRUE
NV16,Camp NV,New Vassar,,Courtyard,2026-09-03 17:30,2026-09-03 18:30,"Enjoy lawn games, popcorn, and classic camp activities in the New Vassar courtyard.","Games, Snacks, Social",TRUE
NV17,Laser Tag,New Vassar,,Game Room,2026-09-03 21:00,2026-09-03 23:00,Team up for friendly laser tag battles throughout New Vassar.,"Games, Social, Snacks",TRUE
NV18,Coffee & Breakfast,New Vassar,,Country Kitchen,2026-09-04 08:00,2026-09-04 09:30,Enjoy a final breakfast with the New Vassar community before classes begin.,"Meal, Social, Snacks",TRUE
NV19,College Classics + Movie Night,New Vassar,,Mezzanine,2026-09-04 15:00,2026-09-04 17:00,"Watch a favorite college movie, enjoy snacks, and relax with new friends before the semester begins.","Snacks, Social, Party, Games",TRUE
NX01,Miscellaneous Mischief,Next House,,Basement,2026-08-30 09:00,2026-08-30 10:00,Pool! Ping pong! Foosball! Heated debates about obscure celebrities!,Social,TRUE
NX02,Fire and Ice I (Ice),Next House,,Courtyard,2026-08-30 10:00,2026-08-30 12:00,Turns out smashing ice is quite therapeutic. Come vent and diy shaved ice with us.,Snacks,TRUE
NX03,Tie Dye,Next House,,Courtyard,2026-08-30 11:00,2026-08-30 13:00,There'll be t-shirts and bow ties to experiment on!,Art,TRUE
NX04,Fire and Ice II (Fire),Next House,,Country Kitchen,2026-08-30 12:00,2026-08-30 14:00,"Where was the fire in Fire & Ice I, you ask? Come eat spicy ramen with us and find out.",Meal,TRUE
NX05,Rockin' and Chalkin',Next House,,Front Sidewalk,2026-08-30 17:30,2026-08-30 19:30,"You can paint the rock, but can you chalk the walk?",Art,TRUE
NX06,Challenging Egg Drop Challenge,Next House,,Courtyard,2026-08-30 18:30,2026-08-30 20:30,"You may have done an egg drop before, but have you done it with your non-dominant hand? We'll have eggs, supplies for protecting them and unreasonable handicaps for you in your futile quest to protect an innocent egg from the cruel hand of gravity!",Games,TRUE
NX07,Next House Tour,Next House,,Lobby,2026-08-30 14:00,2026-08-30 15:00,"Your one (and probably not only) chance to see all of Next House! Listen to some great stories while you walk our storied halls and witness such great things as our music room, communal kitchen, our eight wonderful wings, and more!",Dorm Tour,TRUE
NX08,Paper Tower Engineering Challenge,Next House,,TFL,2026-08-30 20:00,2026-08-30 21:00,"Build sky-high towers out of seemingly simple materials like paper and tape! There will be snacks, as well as prizes for the tallest tower achieved by any team or individual.","Art, Games",TRUE
NX09,Blood on the Clocktower,Next House,,Basement,2026-08-30 22:00,2026-08-31 01:00,"Come play Blood on the Clocktower, a social deduction game. It's like mafia or werewolf, but better!",Games,TRUE
NX10,Mini Canvas Painting,Next House,,Country Kitchen,2026-08-31 08:00,2026-08-31 10:00,"Join our very own paint bar in capturing scenic skylines, signs, and sunsets seen on campus. Refreshments and supplies provided.",Art,TRUE
NX11,Leggo my Eggo,Next House,,Country Kitchen,2026-08-31 08:00,2026-08-31 10:00,Did someone say Legos? And Eggo Waffles?!? Come through to relive your childhood (and maybe even adulthood) in the best possible way! Get delicious breakfast to keep you running for the rest of the day AND channel your Mens et Manus by building stuff out of Lego!,Meal,TRUE
NX12,Minecraft Bedwars IRL,Next House,,2W Main Lounge,2026-08-31 19:30,2026-08-31 21:00,"What exactly is Minecraft Bedwars IRL? Come find out! Join us for a game or two of Calvinball crimes against game design well-thought-out, high-energy fun!",Games,TRUE
NX13,Next House Tour,Next House,,Lobby,2026-08-31 21:00,2026-08-31 22:00,"Your one (and probably not only) chance to see all of Next House! Listen to some great stories while you walk our storied halls and witness such great things as our music room, communal kitchen, our eight wonderful wings, and more! Meet in the Lobby.",Dorm Tour,TRUE
NX14,Lying Down on a Carpet,Next House,,TFL,2026-08-31 21:00,2026-08-31 23:00,"Pillows. A carpet. Hot chocolate. Maybe chill music. No brain, just waiting for the next REX event and vibes.",Social,TRUE
NX15,Bubble Tea Social,Next House,,Country Kitchen,2026-08-31 22:00,2026-09-01 01:00,"WHO DOESN'T LIKE BOBA??? Pull through to enjoy tapioca pearls with an assortment of beverages, jigsaw puzzles, and the company of current Nexties!","Snacks, Social",TRUE
NX16,Dorsal Telestrations,Next House,,Basement,2026-09-01 19:00,2026-09-01 20:00,The Ultimate Drawing Game(s) of All Time.,"Social, Art",TRUE
NX17,Next House Tour,Next House,,Lobby,2026-09-01 21:00,2026-09-01 22:00,"Your one (and probably not only) chance to see all of Next House! Listen to some great stories while you walk our storied halls and witness such great things as our music room, communal kitchen, our eight wonderful wings, and more! Meet in the Lobby.",Dorm Tour,TRUE
NX18,Midnight Pancakes,Next House,,Country Kitchen,2026-09-01 22:00,2026-09-02 01:00,Come to one of Next House's signature events alongside a warm wholesome karaoke session. Catch pancakes in the Next House country kitchen (literally)! Chill and talk to Nexties! Warm up with hot chocolate and the vibes ~,"Signature, Social, Meal",TRUE
NX19,books & tea time,Next House,,TFL TV Area,2026-09-02 15:00,2026-09-02 17:00,Running around campus for rex events got you beat? sit down and relax with a nice cup of tea and something to read :),Social,TRUE
NX20,Mural Painting,Next House,,5E Main Lounge,2026-09-02 16:00,2026-09-02 17:30,Mini Canvas Painting but with huge canvases.,Art,TRUE
NX21,"Um, Actually (MIT Edition)",Next House,,TFL,2026-09-02 23:00,2026-09-03 01:00,"Let your nerd side shine in this MIT-themed rendition of Dropout game show Um, Actually, where no fun fact fares free from merciless pedantic correction! Fabulous prizes and eternal glory await all intrepid challengers!","Social, Games",TRUE
NX22,Good Will Hunting Watch Party!,Next House,,TFL TV Area,2026-09-01 06:30,2026-09-01 09:00,"We will be watching Good Will Hunting, a movie set on MIT's campus! Bring a pillow or blanket! There will be snacks >:)","Snacks, Social",TRUE
NX23,DOOM like its 1993,Next House,2W,2W Main Lounge,2026-08-30 17:00,2026-08-30 19:00,"Ever reminisce the days of dial up, MS-DOS, and OG DOOM? Worry no longer! Its time to (LAN) Party like its 1993! Play DOOM with friends and upperclassmen on a CPU we built from scratch. Tired of playing? We have a wide a variety of chips (potato, silicon, and others) to snack on.","Snacks, Social, Games",TRUE
NX24,AB RIPPER,Next House,5W,5W Main Lounge,2026-08-30 21:00,2026-08-30 22:00,5W Ab Ripper as always! There will be snacks for those who work out (or don't)!,"Snacks, Social",TRUE
NX25,café 2e,Next House,2E,2E Main Lounge,2026-09-01 19:30,2026-09-01 21:00,"make sushi hand rolls, sip on made-to-order matcha lattes and coffee, and chat with nexties in 2e's cozy main lounge!","Snacks, Social",TRUE
NX26,Yoga Class,Next House,2W,TFL,2026-09-01 20:00,2026-09-01 21:00,Full beginners’ vinyasa-based class taught by RYT200,Social,TRUE
